Product Name,Rating,Customers_Rated,Price,Category
"Cottonelle FreshFeel Flushable Wet Wipes, Adult Wet Wipes, 8 Flip-Top Packs, 336 Total Wipes",4.7 out of 5 stars,"105,893",$13.99,Health and Household
"MAXJULI Blue Light Blocking Glasses,Computer Reading/Gaming/TV/Phones Glasses for Women Men(Transparent)",4.4 out of 5 stars,"29,482",$6.99,Electronics
"OLLY Kids Multivitamin + Probiotic Gummy, Digestive and Immune Support, Vitamins A, D, C, E, B, Zinc, Chewable Supplement, Be",4.7 out of 5 stars,"21,554",$12.88,Health and Household
"All-New Echo Dot (5th Gen, 2022 release) | Bigger vibrant sound in a compact smart speaker with Alexa | Deep Sea Blue",4.4 out of 5 stars,398,$49.99,Electronics
Faith Still Moves Mountains: Miraculous Stories of the Healing Power of Prayer,5.0 out of 5 stars,2,$19.59,Books
"Roku Express (New, 2022) HD Streaming Device with High-Speed HDMI Cable and Simple Remote, Guided Setup, and Fast Wi-Fi",4.4 out of 5 stars,199,$17.99,Electronics
Power Failure: The Rise and Fall of an American Icon,,Hardcover,$32.49,Books
"Cablelera Power Cord Extension and Splitter, NEMA 5-15P to NEMA 5-15R x 2, 16 AWG, 13A, 125V (ZWACPQAG-14)",4.8 out of 5 stars,"8,667",$5.99,Electronics
JLab Go Air Pop True Wireless Bluetooth Earbuds + Charging Case | Black | Dual Connect | IPX4 Sweat Resistance | Bluetooth 5.,4.4 out of 5 stars,"16,110",$21.20,Electronics
"Moo, Baa, La La La! (Boynton on Board)",4.9 out of 5 stars,"17,026",$3.47,Books
"Triple Cross: The Greatest Alex Cross Thriller Since Kiss the Girls (An Alex Cross Thriller, 28)",4.6 out of 5 stars,"3,129",$14.00,Books
Roku Express HD Streaming Media Player with High Speed HDMI Cable and Simple Remote,4.7 out of 5 stars,"169,882",$17.00,Electronics
"Advil Liqui-Gels minis Pain Reliever and Fever Reducer, Pain Medicine for Adults with Ibuprofen 200mg for Pain Relief - 200 L",4.9 out of 5 stars,"35,472",$24.00,Health and Household
"Clearblue Early Detection Pregnancy Test, 5 Count",4.7 out of 5 stars,"47,464",$18.90,Health and Household
"Hefty Strong Tall Kitchen Trash Bags, Unscented, 13 Gallon, 90 Count",4.8 out of 5 stars,"24,833",$15.98,Health and Household
"SmartyPants Prenatal Formula Daily Gummy Multivitamin: Vitamin C, D3, & Zinc for Immunity, Gluten Free, Folate, Omega 3 Fish ",4.4 out of 5 stars,"21,737",$24.99,Health and Household
How the Grinch Stole Christmas!: Full Color Jacketed Edition (Classic Seuss),4.9 out of 5 stars,670,$11.99,Books
"occer 12x25 Compact Binoculars with Clear Low Light Vision, Large Eyepiece Waterproof Binocular for Adults Kids,High Power Ea",4.4 out of 5 stars,"23,474",$35.99,Electronics
The Day the Crayons Quit,4.8 out of 5 stars,"20,209",$9.19,Books
